IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.172.111.249,4,4,0.00,190.29,0.00
103.172.111.168,4,4,0.00,190.64,0.00
103.172.110.102,4,4,0.00,191.82,0.00
8.222.156.205,4,4,0.00,191.92,0.00
103.172.111.168,4,4,0.00,192.18,0.00
103.172.111.168,4,4,0.00,192.33,0.00
103.172.111.168,4,4,0.00,193.29,0.00
103.172.111.101,4,4,0.00,194.15,0.00
103.172.111.96,4,4,0.00,194.33,0.00
138.2.117.162,4,4,0.00,194.37,0.00
103.172.111.99,4,4,0.00,194.59,0.00
103.172.111.168,4,4,0.00,198.19,0.00
103.172.111.184,4,4,0.00,198.28,0.00
152.67.208.157,4,4,0.00,198.49,0.00
103.172.111.95,4,4,0.00,199.78,0.00
103.172.111.168,4,4,0.00,202.22,0.00
103.172.110.98,4,4,0.00,204.44,0.00
8.222.193.225,4,4,0.00,213.65,0.00
103.172.111.168,4,4,0.00,214.12,0.00
103.172.111.101,4,4,0.00,215.07,0.00
8.222.156.205,4,4,0.00,216.76,0.00
103.172.111.99,4,4,0.00,217.13,0.00
103.172.111.168,4,4,0.00,217.36,0.00
103.172.111.246,4,4,0.00,220.49,0.00
103.172.111.168,4,4,0.00,221.43,0.00
103.172.110.103,4,4,0.00,222.18,0.00
8.222.210.182,4,4,0.00,224.90,0.00
103.172.110.101,4,4,0.00,232.34,0.00
103.172.110.104,4,4,0.00,233.50,0.00
8.208.85.121,4,4,0.00,234.12,0.00
8.222.197.62,4,4,0.00,235.49,0.00
8.222.187.4,4,4,0.00,238.08,0.00
8.219.193.97,4,4,0.00,240.21,0.00
103.172.111.168,4,4,0.00,242.62,0.00
103.172.111.106,4,4,0.00,245.55,0.00
103.172.111.168,4,4,0.00,247.30,0.00
103.172.111.246,4,4,0.00,249.11,0.00
47.254.146.33,4,4,0.00,249.64,0.00
103.172.111.101,4,4,0.00,249.83,0.00
103.172.110.98,4,4,0.00,251.25,0.00
103.172.111.246,4,4,0.00,252.46,0.00
103.172.111.101,4,4,0.00,255.42,0.00
103.172.111.137,4,4,0.00,255.84,0.00
103.172.111.101,4,4,0.00,260.45,0.00
8.209.109.15,4,4,0.00,261.78,0.00
8.209.68.133,4,4,0.00,264.19,0.00
8.209.104.149,4,4,0.00,265.84,0.00
8.208.85.121,4,4,0.00,266.01,0.00
103.172.111.253,4,4,0.00,267.01,0.00
8.209.117.108,4,4,0.00,268.03,0.00
8.209.77.163,4,4,0.00,269.65,0.00
8.208.94.11,4,4,0.00,270.32,0.00
103.172.111.101,4,4,0.00,271.35,0.00
47.91.95.2,4,4,0.00,272.89,0.00
8.209.110.27,4,4,0.00,273.01,0.00
103.172.110.7,4,4,0.00,273.02,0.00
8.209.101.60,4,4,0.00,273.56,0.00
140.238.221.203,4,4,0.00,275.18,0.00
103.172.110.99,4,4,0.00,275.89,0.00
47.245.176.179,4,4,0.00,276.13,0.00
